id,price
18019,101
10977,81
3461,31
9964,30
35955,86
43093,31
25403,81
38169,45
26438,91
17867,75
5115,61
34443,91
10547,35
41524,55
12325,15
27461,31
31632,96
3031,34
44205,24
28694,31
14621,86
19330,37
4196,31
14394,44
38918,31
17270,28
9533,91
32947,72
17987,91
18772,82
33750,108
29333,55
13326,86
37180,31
30357,107
15394,80
9578,46
25832,37
43548,20
23083,35
6997,24
19619,48
23028,107
21345,91
42614,91
7963,44
17224,31
24946,55
12493,55
5320,50
11583,15
36370,107
33021,55
9178,24
1795,86
14945,55
43225,31
36016,48
5782,55
16644,86
35015,55
32408,107
15303,31
33169,96
27412,44
23614,82
30963,55
17837,31
28583,67
17341,10
4315,34
24280,24
28468,91
6250,67
1598,31
44134,91
18842,81
32904,101
45944,107
30518,91
16168,34
6529,24
32844,80
45671,55
14576,35
28537,86
26837,82
3221,55
37838,74
38723,41
11910,46
31761,24
23771,31
18350,55
18814,32
20158,31
35728,55
18450,34
36804,72
7883,41
12223,96
8121,64
45333,55
39158,39
23340,55
29084,91
26398,86
36729,28
42504,82
37596,58
365,91
26935,82
15819,55
30442,50
15667,31
32054,82
12102,81
3002,86
16223,72
16419,82
38883,31
13164,55
44228,86
32389,86
46581,86
10643,31
13230,107
26211,55
29300,91
27112,91
29327,31
26280,86
21093,80
16453,31
45223,80
6613,55
48301,25
29820,31
4854,82
1421,82
43410,91
42641,81
13926,25
22183,86
45900,55
25824,31
47830,31
39949,55
40595,91
4440,44
14259,76
5986,76
30223,96
31558,31
32326,55
35592,31
10998,82
35113,55
45861,82
47688,55
35566,91
21499,55
30313,82
19912,82
29904,46
23085,55
40459,31
26378,86
17647,55
9419,24
26307,101
10732,24
15830,55
37915,55
22910,91
3774,31
18270,55
11784,76
8116,55
29462,81
25181,31
15861,72
7001,81
4063,55
38151,55
18291,82
43232,82
42952,96
44613,55
20706,91
24872,69
11266,80
27952,81
23462,41
38651,89
14244,86
40125,55
31393,31
6572,45
38396,50
44025,20
21287,30
42646,31
32497,31
7328,91
41034,74
20951,86
30216,44
18811,101
30198,25
8681,24
3647,31
22639,91
42326,99
17481,107
36038,37
20210,55
20377,51
40159,46
1973,24
6487,91
38974,91
8480,31
44972,20
34951,41
623,55
42232,39
10143,55
29908,107
31843,82
22487,24
44678,32
43836,55
27845,55
29058,91
27699,55
21217,86
14990,91
38673,86
11712,76
34133,31
46429,55
1273,82
4473,44
43924,80
11385,76
44061,91
31090,25
8727,28
33482,67
20559,91
13345,107
46767,44
37898,50
18222,101
35088,31
14854,31
44722,31
36498,31
4300,15
14821,91
18444,39
20174,81
11813,82
28137,55
41937,55
70,15
8406,101
1932,32
1535,91
10069,24
20607,55
16258,24
38835,82
8927,101
42059,101
43751,81
45231,86
32290,91
5865,20
26654,82
2411,82
45997,55
44439,39
9270,15
44070,91
14116,46
47958,31
15623,39
11917,55
14053,31
28050,86
29277,91
44940,24
41531,15
45051,89
40960,82
11261,46
24908,55
13364,55
39993,47
28983,31
47393,55
9216,24
2922,24
37553,30
38473,86
28959,20
37761,91
26386,31
3693,31
37985,91
26237,46
21748,51
46776,89
42684,57
31099,42
42,107
23874,87
17349,86
31055,31
30455,23
37000,108
37640,81
24847,28
31352,91
38031,55
7744,81
20797,55
30742,54
46981,31
42795,87
31459,55
10719,55
39340,107
42430,96
38381,86
792,82
6998,20
8870,57
43487,61
1892,31
30940,54
15820,31
4071,44
12929,82
33154,86
21463,94
11748,31
29775,31
33874,75
39356,24
5780,10
41470,82
7821,55
12820,37
23648,37
14609,30
14277,55
34726,55
38215,31
12667,96
35615,91
2175,40
37233,55
27369,25
41165,82
14824,55
47789,20
8352,10
42870,44
34468,31
47059,55
31225,55
16502,55
7259,46
15427,86
43844,15
29773,107
41014,24
34188,61
2401,72
23058,55
37024,82
14378,81
8236,31
41246,31
30508,82
21337,31
108,55
46778,50
46831,108
14545,55
31536,55
17736,55
37789,55
11598,31
33043,46
29595,91
40829,67
44194,45
40667,76
1647,37
11950,91
8340,48
5268,25
28177,31
43115,31
22058,64
25304,39
26998,81
30362,44
9711,108
25734,50
18912,61
44879,28
34710,91
31825,76
22830,50
19796,74
41623,108
9310,76
16427,46
12409,86
23348,55
41038,41
21474,87
2066,69
41899,108
22247,80
39336,55
32635,55
33866,108
15549,128
38504,86
639,91
36592,86
41841,31
41263,45
48079,72
14570,24
39704,46
9249,91
45934,101
12029,46
45050,24
32103,31
40014,76
16378,57
37743,57
7584,31
40227,55
1522,55
3489,55
34413,55
14317,91
3325,82
8964,82
6673,81
25525,31
32873,82
11255,81
36731,55
30606,55
27358,31
30815,55
37445,91
14290,81
30535,24
37937,40
36919,89
17234,96
36223,82
8346,91
48122,86
4206,55
5030,64
20577,82
31191,31
29524,108
45140,82
32679,55
41430,91
32872,80
17908,37
14476,41
32688,91
38662,72
26941,46
9314,65
37709,82
36236,31
35920,46
14486,31
37001,24
45203,31
5513,101
3769,108
10149,55
25275,31
16218,20
18785,82
29846,82
36901,69
19863,86
37318,86
42161,82
31394,55
11198,50
37886,82
5356,24
6886,55
4279,31
7458,82
19168,55
11187,31
30645,64
39830,91
41071,55
42615,41
15624,31
23279,82
33143,75
38952,86
45065,76
36575,24
23259,55
2139,82
33340,107
19670,55
24454,40
17500,55
23281,31
2187,81
42994,31
25858,86
35863,35
38102,55
32779,31
75,24
33265,39
25935,82
10259,101
17105,55
36502,10
19740,55
1558,31
8297,32
34685,31
35441,75
26907,51
38438,89
29203,76
8245,79
29122,55
36300,55
28187,55
35515,91
23329,86
33023,91
3462,50
41734,91
38219,55
17646,74
33247,101
47694,64
25136,101
42479,24
20965,55
2030,55
43642,37
31986,82
44250,55
46746,87
